Symbol,Source_URL,Bid/Ask,Prev. Close,Open,Day's Range,52 wk Range,Volume,Average Vol. (3m),1-Year Change,Fair Value,Fair Value Upside,Market Cap,Shares Outstanding,Revenue,Net Income,EPS,EPS Growth Forecast,Next Earnings Date,Dividend (Yield),Dividends PaymentStreak,RSI(14),P/E Ratio,Return on Assets,Return on Equity,Gross Profit Margin,Price/Book,EBITDA,EV/EBITDA,Beta,Book Value / Share,ISIN
ELSH,https://www.investing.com/equities/shams-hous-dev,7.95/8.10,8.18,8.19,7.95-8.24,5.73-9.54,2.09M,3.67M,35.21%,Unlock,Unlock,1.82B,226.88M,171.53M,142.407428,0.6277,Unlock,"Feb 25, 2026",0.05(0.61%),Unlock,32.22,12.79,9.2%,15%,96.5%,1.84,115.88M,16.66,0.67,4.44,EGS65091C018
ELEC,https://www.investing.com/equities/electro-cable,2.98/3.00,2.97,3,2.97-3.09,2.42-3.36,39.59M,8.7M,9.19%,Unlock,Unlock,9.91B,3.31B,11.69B,552.658365,0.1668,Unlock,-,N/A(N/A),Unlock,58.37,17.87,3.5%,14.8%,29.1%,2.55,2.99B,6.7,-0.35,1.16,EGS3G231C011
EMFD,https://www.investing.com/equities/emaar-misr-for-development-sae,9.45/9.48,9.53,9.57,9.46-9.69,6.51-10.58,3.08M,5.79M,28.78%,Unlock,Unlock,51.91B,5.45B,20.32B,9.35K,1.752,Unlock,"Feb 25, 2026",N/A(N/A),Unlock,51.50,5.41,6.6%,16.1%,52.9%,0.8,8.92B,2.17,0.66,11.94,EGS673Y1C015
FWRY,https://www.investing.com/equities/fawry-banking-and-payment,15.80/15.85,15.93,15.95,15.7-15.98,7.88-16.64,2.44M,8.94M,81.85%,Unlock,Unlock,54.27B,3.41B,7.72B,2.54K,0.6784,Unlock,"Feb 25, 2026",N/A(N/A),Unlock,54.20,23.95,18.2%,40.9%,64.3%,7.89,2.95B,16.73,1.37,2.02,EGS745L1C014
GBCO,https://www.investing.com/equities/gb-auto-s.a.e,26.80/27.40,26.07,26.2,26.11-27.88,14.89-28.5,4.49M,1.92M,54.63%,Unlock,Unlock,29.5B,1.09B,76.09B,3.56K,3.1888,Unlock,"Feb 26, 2026",0.35(1.34%),Unlock,44.94,8.47,4.6%,13.5%,15.9%,1.05,6.61B,7.42,0.52,25.01,EGS673T1C012
GGCC,https://www.investing.com/equities/giza-contracti,0.612/0.615,0.627,0.631,0.606-0.634,0.39-0.674,9.72M,24.76M,48.93%,Unlock,Unlock,887.27M,1.44B,1.02B,178.419457,0.1237,Unlock,-,N/A(N/A),Unlock,50.39,4.97,7.5%,25.2%,19%,1.14,127.97M,7.53,0.48,0.55,EGS21541C015
HDBK,https://www.investing.com/equities/housing---dev,91.20/91.98,90.05,90.25,90-94,50-94,601.31K,266.13K,67.63%,Unlock,Unlock,48.73B,531.3M,38.08B,17.47K,32.8776,Unlock,"Feb 25, 2026",5.00(5.55%),Unlock,56.55,2.79,9%,55.4%,-,1.25,-,-,0.24,71.95,EGS60301C016
ISPH,https://www.investing.com/equities/ibnsina-pharma,10.92/11.07,11.2,11.24,10.85-11.29,5.85-12.3,2.34M,3.78M,56.64%,Unlock,Unlock,11.03B,1.01B,72.83B,867.892848,0.6974,Unlock,"Feb 25, 2026",0.16(1.43%),Unlock,41.52,15.77,2.8%,32.6%,8.4%,4.45,3.48B,9.97,0.59,2.47,EGS512O1C012
ICFC,https://www.investing.com/equities/icfc,15.60/15.67,14.89,14.91,14.75-15.65,9.7-33.2,2.87M,937.82K,50.4%,Unlock,Unlock,348.98M,22.5M,-,255.829819,-,Unlock,-,N/A(N/A),Unlock,-,-,-,-,7.2%,-,168.46M,-,-,-,EGS520D1C015
IEEC,https://www.investing.com/equities/industrial-engineer-enterprises,0.466/0.47,0.483,0.483,0.464-0.485,0.242-0.494,31.34M,53.64M,87.94%,Unlock,Unlock,626.94M,1.46B,-,-,-,Unlock,-,N/A(N/A),Unlock,-,-,-,-,-,-,-,-,-,-,EGS22171C010
ENGC,https://www.investing.com/equities/eng-indust(ico),33.84/34.70,34.86,35.32,33.75-35.32,21-39.77,206.06K,462.22K,42.23%,Unlock,Unlock,4.92B,145.5M,6.96B,761.553404,4.4551,Unlock,-,1.25(3.59%),Unlock,50.34,7.63,14.1%,28.5%,36.8%,2.05,1.99B,3.75,0.62,16.97,EGS3F021C017
IFAP,https://www.investing.com/equities/intl-agri-prod,18.74/18.88,18.82,18.82,18.5-19.06,8.109-26.5,390.63K,634K,137%,Unlock,Unlock,9.27B,497.29M,2.44B,440.927407,1.0342,Unlock,-,N/A(N/A),Unlock,57.48,18.03,10.1%,13%,6.1%,2.1,41.37M,134.53,0.67,11.74,EGS07061C012
ISMQ,https://www.investing.com/equities/iron-steel-for-mines-quarries,7.10/7.27,7.21,7.22,7.08-7.27,3.62-7.6,3.22M,8.87M,80.7%,Unlock,Unlock,7.04B,976.87M,1.48B,754.72743,0.773,Unlock,-,0.42(5.83%),Unlock,69.25,9.72,86.2%,163.2%,78.7%,13.25,973.98M,6.67,-0.609,0.57,EGS102S1C014
ISMA,https://www.investing.com/equities/ismalia-poultr,14.00/13.25,13.27,13.36,13.03-13.44,8-14.77,454.88K,1.4M,31%,Unlock,Unlock,1.19B,89.86M,80.13M,69.883221,0.7777,Unlock,-,N/A(N/A),Unlock,45.84,17.02,20.8%,49.6%,90%,6.78,70.91M,16.76,-0.21,1.96,EGS02021C011
JUFO,https://www.investing.com/equities/juhayna-food-industries,27.30/27.50,27.71,27.7,26.75-27.98,19.2-31.84,2.49M,1.41M,3.74%,Unlock,Unlock,32.13B,1.18B,28.11B,1.57K,1.0974,Unlock,"Feb 25, 2026",0.24(0.87%),Unlock,72.35,24.88,10.1%,19.2%,23.1%,4.41,3.4B,11.07,-0.12,6.28,EGS30901C010
EGCH,https://www.investing.com/equities/egypt-chem-ind,11.47/11.88,11.71,11.71,11.46-11.92,6.75-12.95,2.61M,3.08M,48.79%,Unlock,Unlock,22.94B,1.99B,8.31B,3.25K,1.6346,Unlock,"Feb 25, 2026",N/A(N/A),Unlock,49.34,7.07,-,38.7%,38.4%,-,2.47B,13.3,0.47,-,EGS38201C017
LCSW,https://www.investing.com/equities/lecico-egypt,24.85/24.90,25.13,25.15,24.81-25.19,21-32.7,243.01K,731.21K,-14.52%,Unlock,Unlock,1.99B,80M,7.53B,292.114303,3.6514,Unlock,"Feb 26, 2026",N/A(N/A),Unlock,39.01,6.82,4.3%,10.1%,24.7%,0.95,998.37M,4.02,-0.58,26.5,EGS3C161C014
MCRO,https://www.investing.com/equities/macro-pharmaceutical,1.11/1.13,1.12,1.12,1.11-1.13,0.69-4.11,2.76M,20.11M,-49.09%,Unlock,Unlock,638.63M,570.21M,879.03M,131.909263,0.23,Unlock,-,N/A(N/A),Unlock,38.14,4.96,19.5%,113.9%,67.6%,3.51,163.41M,4.93,0.31,0.32,EGS7D971C011
MASR,https://www.investing.com/equities/medinet-nasr-h,4.32/4.33,4.33,4.34,4.28-4.35,3.68-4.9,8.81M,5.27M,11.89%,Unlock,Unlock,8.81B,2.05B,8.39B,2.75K,1.1596,Unlock,"Mar 02, 2026",0.25(5.77%),Unlock,55.38,3.71,9%,23.7%,61.7%,0.81,3.56B,2.31,0.47,5.16,EGS65571C019
MPCO,https://www.investing.com/equities/mansourah-pltr,1.68/1.69,1.7,1.71,1.67-1.72,0.906-2.074,19.79M,48.68M,73.86%,Unlock,Unlock,1.68B,1B,961.83M,96.219215,0.1005,Unlock,-,N/A(N/A),Unlock,47.05,16.62,20.1%,30.3%,15.5%,4.83,99.84M,17,-0.5,0.35,EGS02091C014
MOIL,https://www.investing.com/equities/maridv---oil-s,0.451/0.46,0.446,0.449,0.447-0.461,0.239-0.51,510.66K,610.91K,24.23%,Unlock,Unlock,213.97M,470.26M,241.1M,38.239737,0.0813,Unlock,-,N/A(N/A),Unlock,50.20,5.60,6.7%,33.8%,51%,0.94,153.63M,2.66,1,0.48,EGS44012C010
MEPA,https://www.investing.com/equities/medical-packaging-company,1.76/1.78,1.75,1.76,1.75-1.79,1.06-2.02,16.58M,35.05M,38.89%,Unlock,Unlock,1.15B,655M,133.79M,36.981786,0.0565,Unlock,-,N/A(N/A),Unlock,38.61,30.97,15.6%,18.5%,37.8%,5.24,38.29M,27.86,1.14,0.33,EGS3C4L1C015
MPCI,https://www.investing.com/equities/memphis-pharmaceuticals,145.80/146.20,147.04,147.11,145.76-149.5,47.15-232.95,435.21K,353.2K,186.35%,Unlock,Unlock,3.33B,22.75M,1.61B,517.388597,22.7424,Unlock,-,13.19(8.97%),Unlock,26.23,6.42,34.7%,117.2%,43.3%,5.63,550.24M,4.71,0.09,26.13,EGS38351C010
MENA,https://www.investing.com/equities/mena-invest,4.68/4.73,4.76,4.79,4.66-4.79,3.94-6.46,202.1K,1.81M,7.69%,Unlock,Unlock,1.14B,241.92M,5.56M,-26.84633,-0.111,Unlock,-,N/A(N/A),Unlock,47.07,-42.34,-14.1%,-22.5%,-24.8%,10.89,21.2M,-53.74,-0.29,0.44,EGS65441C015
MCQE,https://www.investing.com/equities/misr-cement-qe,173.10/176.50,175.24,177,171.61-179.4,20.62-185.7,69.25K,290.94K,652.1%,Unlock,Unlock,16.63B,96M,8.5B,1.51K,15.7711,Unlock,"Feb 25, 2026",1.50(0.86%),Unlock,65.16,10.98,32.2%,69.5%,35%,5.87,2.74B,5.88,-0.05,29.88,EGS3C391C017
HELI,https://www.investing.com/equities/heliopolis-housing,3.43/3.50,3.51,3.52,3.41-3.56,2.91-3.98,36.55M,26.26M,16.48%,Unlock,Unlock,13.78B,4.01B,1.43B,1.88K,0.4692,Unlock,"Feb 25, 2026",0.45(12.72%),Unlock,38.06,7.29,11.2%,22.2%,83.6%,1.67,1.34B,14.67,0.13,2.1,EGS65591C017
MFPC,https://www.investing.com/equities/misr-fertilizers-production-co-sae,30.60/30.90,30.15,30.25,30.03-31.35,23.2-31.7,3.21M,738.22K,10.91%,Unlock,Unlock,87.19B,2.87B,25.16B,11.35K,3.9566,Unlock,"Feb 25, 2026",5.26(17.43%),Unlock,55.88,7.71,20.5%,26.3%,52.1%,1.95,14.02B,5.17,0.09,15.46,EGS39061C014
ATQA,https://www.investing.com/equities/misr-national-steel---ataqa,9.90/9.92,10.08,10.1,9.88-10.16,5.04-12.38,1.92M,4.67M,83.94%,Unlock,Unlock,11.92B,1.2B,6.98B,23.181819,0.0193,Unlock,-,N/A(N/A),Unlock,54.98,513.47,0.5%,0.9%,8.1%,4.87,340.98M,34.64,-0.13,2.07,EGS3D0C1C018
MTIE,https://www.investing.com/equities/mm-group-for-industry,8.00/7.40,7.32,7.32,7.29-7.44,5.4-8,3.12M,2.83M,17.16%,Unlock,Unlock,13.88B,1.89B,20.28B,1.28K,0.5583,Unlock,"Feb 25, 2026",N/A(N/A),Unlock,57.99,13.16,18.1%,25.9%,10.8%,2.98,1.58B,7.81,1.04,2.45,EGS75011C014
OLFI,https://www.investing.com/equities/obour-land-for-food-industries,24.10/24.17,24.39,24.4,23.95-24.8,15.56-25.8,210.27K,378.71K,35.65%,Unlock,Unlock,9.7B,400M,11.04B,939.409598,2.0642,Unlock,"Feb 25, 2026",2.00(8.20%),Unlock,50.09,11.72,22.1%,58.4%,20.3%,6.85,1.66B,7.03,0.78,3.56,EGS30AL1C012
ODIN,https://www.investing.com/equities/egypt-abrd-inv,2.06/2.10,2.11,2.12,2.04-2.13,1.32-2.37,4.48M,6.81M,21.26%,Unlock,Unlock,1.24B,600M,125.66M,-,0.3113,Unlock,-,N/A(N/A),Unlock,47.58,6.62,-,-,-,-,-,-,0.15,-,EGS67181C015
ORAS,https://www.investing.com/equities/orascom-construction-ltd,419.52/422.96,423,424.9,418.5-426.49,251.5-513,337.39K,245.21K,56.7%,Unlock,Unlock,46.3B,110.24M,4.36B,164.3,1.4909,Unlock,"Mar 19, 2026",23.43(5.54%),Unlock,38.14,5.97,4.1%,23.6%,9.7%,1.22,250.7M,0.53,-,329.06,EGS95001C011
OFH,https://www.investing.com/equities/orascom-investment-holding-ca,0.547/0.55,0.547,0.548,0.54-0.553,0.373-0.82,31.98M,33.4M,27.8%,Unlock,Unlock,2.53B,4.63B,-,-86.464,0.0303,Unlock,-,N/A(N/A),Unlock,40.45,18.67,-3.2%,5.2%,-,0.83,23.25M,-70.65,0.12,0.66,EGS696S1C016
ORHD,https://www.investing.com/equities/orascom-hotels-and-development,23.81/23.90,23.8,23.83,23.8-24.35,16.5-27.5,5.39M,3.24M,29.21%,Unlock,Unlock,26.96B,1.13B,23.58B,5.36K,4.7379,Unlock,"Mar 17, 2026",0.38(1.61%),Unlock,33.53,5.04,9.3%,41.9%,33.4%,1.78,9.93B,3.12,0.25,13.39,EGS70321C012
ORWE,https://www.investing.com/equities/oriental-weave,22.85/22.85,23,23.09,22.82-23.1,19.66-27.5,685.14K,1.52M,-6.84%,Unlock,Unlock,15.25B,665.11M,26.55B,1.99K,2.9284,Unlock,"Feb 26, 2026",1.60(6.96%),Unlock,51.31,7.80,6.4%,10.7%,10.8%,0.83,3.07B,5.9,-0.16,27.63,EGS33041C012
PHDC,https://www.investing.com/equities/palm-hill-dev,8.68/8.74,8.79,8.76,8.65-9.09,5.93-9.49,32.49M,15.13M,25.39%,Unlock,Unlock,24.85B,2.86B,34.75B,4.44K,1.5298,Unlock,"Feb 24, 2026",N/A(N/A),Unlock,63.35,5.67,3.5%,29.7%,38.5%,1.49,8.43B,4.02,0.65,5.9,EGS655L1C012
PRDC,https://www.investing.com/equities/pioneer-properties-urban-dev,4.07/4.10,4.1,4.12,4.06-4.18,2.71-4.75,1.05M,4.17M,32.69%,Unlock,Unlock,4.16B,1.01B,5.83B,96.58362,0.0946,Unlock,-,N/A(N/A),Unlock,47.75,42.09,0.7%,1.2%,35.9%,0.57,1.16B,16.3,0.45,7.18,EGS21FW1C015
CCAP,https://www.investing.com/equities/citadel-capita,3.55/3.57,3.61,3.62,3.52-3.66,2.2-4.27,66.77M,109.24M,41.02%,Unlock,Unlock,15.09B,4.23B,148.54B,-869.263,-0.478,Unlock,"Dec 03, 2025",N/A(N/A),Unlock,54.35,-7.49,-0.8%,-,6.7%,-1.05,23.03B,8.7,0.28,-8.65,EGS73541C012
RAYA,https://www.investing.com/equities/raya-tech---co,3.79/3.82,3.86,3.87,3.76-3.93,2.2-3.93,15.24M,22.23M,34.03%,Unlock,Unlock,16.13B,4.28B,58.35B,2.21K,0.5166,Unlock,"Feb 25, 2026",0.04(1.04%),Unlock,70.78,7.30,5.5%,53.6%,21%,3.38,5.62B,6.85,-0.1,1.14,EGS690C1C010
SKPC,https://www.investing.com/equities/sidi-kerir-pet,15.28/15.30,15.42,15.55,15.08-15.55,15.08-23.18,1.42M,1.27M,-0.57%,Unlock,Unlock,17.24B,1.13B,15.05B,2.15K,1.69,Unlock,"Feb 25, 2026",1.00(5.19%),Unlock,47.43,8.99,15.4%,27.1%,20.2%,2.3,2.3B,6.74,-0.004,6.73,EGS380S1C017
SCEM,https://www.investing.com/equities/sinai-cement,60.50/61.00,61.2,61.55,60.5-61.55,27-75,94.05K,864.68K,100.52%,Unlock,Unlock,15.86B,260.81M,8.67B,1.86K,5.2143,Unlock,"Sep 03, 2025",N/A(N/A),Unlock,45.39,11.66,30.5%,43.2%,46.7%,3.05,3.02B,4.07,0.45,20.09,EGS3C401C014
OCDI,https://www.investing.com/equities/6th-oct-dev-in,18.11/18.57,18.71,18.7,18.02-18.8,14.6-70,822.41K,1.83M,-67.4%,Unlock,Unlock,23.59B,1.29B,14.09B,3.94K,11.0487,Unlock,"Mar 30, 2026",N/A(N/A),Unlock,53.65,1.65,6.7%,33.6%,54.8%,1.76,5.14B,5.3,0.49,38.47,EGS65851C015
SVCE,https://www.investing.com/equities/s.-valley-ceme,9.17/9.20,9.05,9.12,8.94-9.27,3.25-9.88,7.2M,9.45M,151.39%,Unlock,Unlock,4.35B,482.26M,2.76B,-279.756431,-0.58,Unlock,"Sep 03, 2025",N/A(N/A),Unlock,70.65,-15.60,-4%,-8.6%,6.4%,1.41,146.14M,42.59,0.696,6.43,EGS3C351C011
TMGH,https://www.investing.com/equities/t-m-g-holding,77.80/78.00,77.99,78.25,77.62-79,46.75-80.9,2.34M,2.69M,48.55%,Unlock,Unlock,161.2B,2.06B,53.03B,16.49K,7.4803,Unlock,"Feb 25, 2026",0.25(0.32%),Unlock,59.70,10.44,5.3%,21.9%,35.8%,2.1,18.47B,10.76,-0.08,37.18,EGS691S1C011
TAQA,https://www.investing.com/equities/taqa-arabia,13.10/13.28,13.37,13.43,13.1-13.5,10.5-16.04,1.95M,3.08M,9.95%,Unlock,Unlock,18.08B,1.35B,24.18B,977.179603,0.7226,Unlock,"Feb 25, 2026",N/A(N/A),Unlock,50.90,18.28,5.8%,28.1%,11.7%,4.7,2.21B,9.7,20.76,2.85,EGS490S1C014
ETEL,https://www.investing.com/equities/telecom-egypt,69.10/69.15,71,70.99,69.1-70.99,33-71.37,1.01M,1.05M,101.65%,Unlock,Unlock,117.98B,1.71B,101.94B,18.43K,9.6687,Unlock,"Feb 19, 2026",1.50(2.11%),Unlock,69.03,7.16,9.3%,31.9%,40.7%,2.09,41.63B,3.96,0.4,34.03,EGS48031C016
RMDA,https://www.investing.com/equities/tenth-of-ramadan-for-pharmaceutical,3.22/3.23,3.26,3.26,3.2-3.28,2.3-3.69,4.87M,7.56M,22.24%,Unlock,Unlock,6.44B,2B,3.95B,421.134998,0.1985,Unlock,"Feb 25, 2026",0.08(2.47%),Unlock,53.49,16.22,9.9%,19.8%,47%,3.07,1.16B,7.54,0.14,1.06,EGS381B1C015
UBEE,https://www.investing.com/equities/united-bank,14.65/14.97,14.8,15,14.69-15.1,12.4-19.08,214.94K,220.84K,2.71%,Unlock,Unlock,16.28B,1.1B,6.12B,2.63K,2.1207,Unlock,"Feb 25, 2026",0.75(5.07%),Unlock,45,7.29,3%,15.9%,-,1.01,-,-,1.53,14.6,EGS600M1C017
UNIT,https://www.investing.com/equities/united-housing,10.69/10.89,10.7,10.79,10.6-10.93,5.5-12,67.97K,131.01K,75.41%,Unlock,Unlock,2.48B,229.64M,268.91M,216.671761,0.9281,Unlock,-,N/A(N/A),Unlock,43.80,11.63,10.3%,26.1%,106.6%,2.72,243.99M,7.59,0.63,3.9,EGS65061C011
VLMRA,https://www.investing.com/equities/egypt-kuwait-holding,23.68/23.79,23.85,23.88,23.67-24.27,21.9-31.73,4.78M,1.76M,-18.31%,Unlock,Unlock,37.82B,1.18B,713.09M,160.609011,0.1155,Unlock,"Feb 23, 2026",1.70(7.12%),Unlock,37.79,5.89,12.4%,38.1%,35.5%,1.99,255.04M,3.87,0.34,16.36,EGS69081C023
ZMID,https://www.investing.com/equities/zahraa-maadi-i,5.46/5.54,5.56,5.58,5.46-5.6,3-6.5,5.82M,32.13M,67.47%,Unlock,Unlock,5.5B,1B,1.01B,771.897573,0.6429,Unlock,-,0.28(5.02%),Unlock,37.40,8.55,27.7%,30.4%,86.7%,2.35,801.47M,5.91,0.04,2.36,EGS21171C011
